"Subject","Block","Condition","Item","Acc","RT","Target","cloze","age","frequency"
101,11,"Morph","D019",0,1331,"VALSE",20,19,0.47
101,12,"Sem","D084",1,753,"LANCE",20,19,19.19
101,13,"Sem","D104",1,584,"TOUCHE",20,19,29.26
101,14,"Orth","D046",1,765,"BOULE",20,19,0.61
101,15,"Sem","D077",0,880,"NOUE",20,19,1.62
101,17,"Morph","D017",1,586,"SERRE",20,19,27.36
101,23,"Orth","D058",1,1191,"PLACE",20,19,15.14
101,24,"Morph","D028",1,1504,"POUSSE",20,19,41.82
101,25,"Orth","D062",1,1326,"SOUDE",20,19,0.27
101,26,"Morph","D010",1,861,"CASSE",20,19,17.03
101,28,"Orth","D071",1,837,"EXPLORE",20,19,0.68
101,31,"ID","D128",1,719,"RESTE",20,19,153.99
101,32,"ID","D109",1,1689,"TIRE",20,19,55.14
101,33,"ID","D140",1,1196,"OBSERVE",20,19,16.69
101,34,"Orth","D060",0,2420,"SAUVE",20,19,10.41
101,35,"Orth","D037",1,653,"AIME",20,19,257.57
101,36,"Morph","D033",1,667,"CHERCHE",20,19,66.69
101,41,"Sem","D080",1,603,"DONNE",20,19,149.26
101,42,"Morph","D018",1,544,"SIGNE",20,19,7.57
101,43,"ID","D123",0,831,"SONNE",20,19,16.82
101,45,"Morph","D025",1,665,"POSE",20,19,48.85
101,48,"Morph","D001",0,778,"OSE",20,19,28.51
101,50,"Orth","D038",0,764,"DUPE",20,19,0.27
101,52,"Orth","D072",1,671,"COMMENCE",20,19,82.5
101,53,"Sem","D098",1,713,"NOTE",20,19,8.72
101,54,"Sem","D081",1,708,"ÉPOUSE",20,19,7.3
101,57,"Orth","D052",1,701,"LANGE",20,19,0.001
101,58,"Orth","D068",1,900,"CHARGE",20,19,7.97
101,62,"Orth","D064",1,679,"ARRIVE",20,19,164.12
101,63,"Orth","D067",1,693,"CHANGE",20,19,18.45
101,64,"Sem","D073",1,695,"ADORE",20,19,16.76
101,66,"Morph","D007",1,1096,"LOUE",20,19,1.69
101,67,"ID","D126",1,503,"PARLE",20,19,168.78
101,68,"Morph","D005",0,1237,"ERRE",20,19,2.64
101,69,"Orth","D057",1,530,"ÉGALE",20,19,1.22
101,71,"Sem","D095",0,870,"DORE",20,19,1.15
101,72,"Orth","D048",1,640,"COUPE",20,19,17.77
101,73,"Morph","D023",1,544,"CHASSE",20,19,3.83
101,75,"Sem","D097",1,584,"ESPÈRE",20,19,43.85
101,77,"Orth","D042",1,631,"BASE",20,19,0.27
101,81,"Sem","D093",0,866,"CLAQUE",20,19,11.49
101,85,"Sem","D107",0,970,"PERCE",20,19,3.45
101,87,"Orth","D053",1,560,"MANGE",20,19,31.96
101,91,"ID","D141",0,947,"RAMASSE",20,19,10.68
101,95,"ID","D132",1,791,"MANQUE",20,19,41.49
101,97,"Morph","D020",1,770,"AJOUTE",20,19,29.19
101,98,"ID","D114",0,866,"MÊLE",20,19,11.01
101,101,"Orth","D059",1,1001,"ROULE",20,19,24.3
101,103,"Morph","D027",1,728,"PLEURE",20,19,24.93
101,105,"Morph","D008",1,586,"AMUSE",20,19,24.86
101,106,"ID","D129",0,950,"MANIE",20,19,1.55
101,110,"ID","D142",1,1033,"EXPLIQUE",20,19,38.24
101,116,"Morph","D031",1,719,"DÉCIDE",20,19,20.61
101,122,"Orth","D056",1,643,"PARIE",20,19,5.58
101,123,"Morph","D012",1,701,"ENTRE",20,19,58.78
101,125,"Sem","D076",0,761,"HURLE",20,19,18.24
101,126,"ID","D118",1,605,"TÂCHE",20,19,3.58
101,129,"Morph","D036",1,566,"EXPRIME",20,19,10.34
101,132,"ID","D122",1,624,"TOMBE",20,19,60.27
101,133,"Morph","D004",0,801,"CITE",20,19,4.8
101,134,"Morph","D003",1,697,"ARME",20,19,1.15
101,138,"Morph","D022",1,557,"BOUFFE",20,19,5.61
101,140,"Orth","D049",1,602,"ÉVITE",20,19,6.35
101,141,"Sem","D090",1,570,"TREMBLE",20,19,14.59
101,143,"Sem","D094",1,772,"COLLE",20,19,12.77
101,147,"Sem","D103",0,666,"PRIE",20,19,44.19
101,149,"Orth","D045",1,998,"BOUGE",20,19,30.88
101,151,"Orth","D041",1,691,"JUGE",20,19,29.8
101,152,"Sem","D101",1,765,"PORTE",20,19,79.05
101,153,"ID","D139",0,809,"BORDE",20,19,2.03
101,154,"ID","D110",1,1005,"RATE",20,19,2.91
101,158,"ID","D125",1,836,"TRACE",20,19,5.54
101,160,"Sem","D083",1,755,"HABITE",20,19,22.5
101,161,"ID","D135",1,738,"RÉPÈTE",20,19,37.3
101,162,"Orth","D040",1,1077,"GARE",20,19,2.77
101,164,"ID","D137",1,617,"RÉCITE",20,19,3.72
101,170,"Morph","D014",1,680,"GAGNE",20,19,19.66
101,172,"Sem","D102",1,1308,"QUITTE",20,19,32.03
101,180,"Orth","D051",1,584,"FORGE",20,19,0.74
101,182,"Sem","D087",1,784,"SITUE",20,19,4.86
101,183,"Sem","D078",0,1100,"MÉRITE",20,19,13.78
101,185,"Morph","D013",0,782,"FONDE",20,19,2.03
101,186,"Morph","D016",1,546,"PENSE",20,19,178.04
101,187,"Orth","D043",1,698,"RASE",20,19,2.64
101,189,"Morph","D009",1,871,"BRISE",20,19,6.08
101,190,"Orth","D065",0,977,"ARROGE",20,19,0.14
101,191,"Morph","D006",1,609,"JOUE",20,19,40.47
101,194,"Sem","D082",1,1152,"GRIMPE",20,19,8.18
101,198,"Sem","D105",1,541,"TROUVE",20,19,163.78
101,200,"ID","D127",1,990,"ÉTALE",20,19,10.41
101,202,"ID","D121",1,525,"DANSE",20,19,9.8
101,207,"Morph","D030",1,908,"SOIGNE",20,19,4.66
101,208,"Sem","D075",1,586,"FORME",20,19,11.89
101,210,"Sem","D086",1,522,"REFUSE",20,19,24.19
101,212,"ID","D138",1,569,"PRÉPARE",20,19,19.59
101,213,"Orth","D039",0,641,"FIGE",20,19,12.64
101,214,"Orth","D069",1,530,"ÉCOUTE",20,19,83.58
101,218,"Orth","D047",0,906,"BRÛLE",20,19,17.77
101,220,"ID","D112",0,607,"DURE",20,19,19.05
101,221,"ID","D136",0,2219,"PULSE",20,19,0.2
101,225,"ID","D130",0,699,"VANTE",20,19,2.57
101,226,"Sem","D085",1,714,"RACONTE",20,19,54.12
101,228,"Morph","D035",1,758,"FROTTE",20,19,8.58
101,231,"Sem","D088",1,755,"RINCE",20,19,2.03
101,232,"Orth","D063",0,754,"BRASE",20,19,0.001
101,234,"ID","D113",1,1379,"VIDE",20,19,9.32
101,235,"Sem","D099",1,1482,"OUBLIE",20,19,34.66
101,241,"ID","D131",1,1145,"BOUCLE",20,19,3.51
101,243,"Orth","D044",1,784,"VOLE",20,19,10.1
101,245,"Orth","D070",0,996,"TRAITE",20,19,8.11
101,246,"ID","D111",1,668,"FUME",20,19,15.2
101,247,"Orth","D050",1,821,"FERME",20,19,28.38
101,248,"Sem","D100",1,486,"PASSE",20,19,185.61
101,249,"Sem","D074",1,2104,"AVALE",20,19,9.26
101,252,"Morph","D024",1,953,"PROUVE",20,19,13.45
101,253,"Orth","D066",1,632,"ASSURE",20,19,27.09
101,254,"Morph","D011",1,1341,"CLOUE",20,19,1.22
101,257,"Morph","D026",1,719,"MONTRE",20,19,38.99
101,258,"ID","D120",1,1038,"CRÈVE",20,19,10.14
101,260,"Morph","D034",1,769,"ÉCHAPPE",20,19,18.65
101,262,"ID","D119",1,790,"DOUTE",20,19,20
101,263,"ID","D124",1,594,"ABUSE",20,19,1.62
101,265,"Orth","D055",1,578,"PANSE",20,19,0.47
101,269,"Sem","D091",1,689,"TROMPE",20,19,15.41
101,270,"ID","D117",1,547,"NAGE",20,19,2.36
101,274,"Orth","D061",0,895,"SONGE",20,19,17.03
101,275,"Sem","D089",1,697,"TOURNE",20,19,60.81
101,276,"Morph","D029",1,920,"ACCUSE",20,19,6.01
101,278,"Sem","D092",1,561,"CACHE",20,19,20.07
101,279,"ID","D134",1,804,"PLONGE",20,19,12.91
101,281,"Orth","D054",1,659,"MONTE",20,19,70.34
101,283,"ID","D115",0,1079,"PÈSE",20,19,13.18
101,285,"ID","D116",1,640,"RÊVE",20,19,21.62
101,286,"ID","D133",1,649,"INVITE",20,19,11.01
101,287,"ID","D143",1,578,"RETOURNE",20,19,50.54
101,289,"ID","D144",1,915,"MOULE",20,19,0.68
101,290,"Morph","D032",1,541,"IMPOSE",20,19,12.77
101,291,"Sem","D106",1,912,"AIDE",20,19,18.38
101,292,"Sem","D096",1,515,"EMPÊCHE",20,19,41.15
101,293,"Morph","D021",1,662,"BLESSE",20,19,3.11
101,295,"Sem","D079",1,531,"ACCEPTE",20,19,18.65
101,296,"Morph","D002",0,834,"TUE",20,19,16.96
101,299,"Morph","D015",1,773,"MOQUE",20,19,11.82
101,300,"Sem","D108",1,1101,"VEXE",20,19,1.76
101,11,"Morph","D019",0,1331,"VALSE",20,19,0.47
101,12,"Sem","D084",1,753,"LANCE",20,19,19.19
101,13,"Sem","D104",1,584,"TOUCHE",20,19,29.26
101,14,"Orth","D046",1,765,"BOULE",20,19,0.61
101,15,"Sem","D077",0,880,"NOUE",20,19,1.62
101,17,"Morph","D017",1,586,"SERRE",20,19,27.36
101,23,"Orth","D058",1,1191,"PLACE",20,19,15.14
101,24,"Morph","D028",1,1504,"POUSSE",20,19,41.82
101,25,"Orth","D062",1,1326,"SOUDE",20,19,0.27
101,26,"Morph","D010",1,861,"CASSE",20,19,17.03
101,28,"Orth","D071",1,837,"EXPLORE",20,19,0.68
101,31,"ID","D128",1,719,"RESTE",20,19,153.99
101,32,"ID","D109",1,1689,"TIRE",20,19,55.14
101,33,"ID","D140",1,1196,"OBSERVE",20,19,16.69
101,34,"Orth","D060",0,2420,"SAUVE",20,19,10.41
101,35,"Orth","D037",1,653,"AIME",20,19,257.57
101,36,"Morph","D033",1,667,"CHERCHE",20,19,66.69
101,41,"Sem","D080",1,603,"DONNE",20,19,149.26
101,42,"Morph","D018",1,544,"SIGNE",20,19,7.57
101,43,"ID","D123",0,831,"SONNE",20,19,16.82
101,45,"Morph","D025",1,665,"POSE",20,19,48.85
101,48,"Morph","D001",0,778,"OSE",20,19,28.51
101,50,"Orth","D038",0,764,"DUPE",20,19,0.27
101,52,"Orth","D072",1,671,"COMMENCE",20,19,82.5
101,53,"Sem","D098",1,713,"NOTE",20,19,8.72
101,54,"Sem","D081",1,708,"ÉPOUSE",20,19,7.3
101,57,"Orth","D052",1,701,"LANGE",20,19,0.001
101,58,"Orth","D068",1,900,"CHARGE",20,19,7.97
101,62,"Orth","D064",1,679,"ARRIVE",20,19,164.12
101,63,"Orth","D067",1,693,"CHANGE",20,19,18.45
101,64,"Sem","D073",1,695,"ADORE",20,19,16.76
101,66,"Morph","D007",1,1096,"LOUE",20,19,1.69
101,67,"ID","D126",1,503,"PARLE",20,19,168.78
101,68,"Morph","D005",0,1237,"ERRE",20,19,2.64
101,69,"Orth","D057",1,530,"ÉGALE",20,19,1.22
101,71,"Sem","D095",0,870,"DORE",20,19,1.15
101,72,"Orth","D048",1,640,"COUPE",20,19,17.77
101,73,"Morph","D023",1,544,"CHASSE",20,19,3.83
101,75,"Sem","D097",1,584,"ESPÈRE",20,19,43.85
101,77,"Orth","D042",1,631,"BASE",20,19,0.27
101,81,"Sem","D093",0,866,"CLAQUE",20,19,11.49
101,85,"Sem","D107",0,970,"PERCE",20,19,3.45
101,87,"Orth","D053",1,560,"MANGE",20,19,31.96
101,91,"ID","D141",0,947,"RAMASSE",20,19,10.68
101,95,"ID","D132",1,791,"MANQUE",20,19,41.49
101,97,"Morph","D020",1,770,"AJOUTE",20,19,29.19
101,98,"ID","D114",0,866,"MÊLE",20,19,11.01
101,101,"Orth","D059",1,1001,"ROULE",20,19,24.3
101,103,"Morph","D027",1,728,"PLEURE",20,19,24.93
101,105,"Morph","D008",1,586,"AMUSE",20,19,24.86
101,106,"ID","D129",0,950,"MANIE",20,19,1.55
101,110,"ID","D142",1,1033,"EXPLIQUE",20,19,38.24
101,116,"Morph","D031",1,719,"DÉCIDE",20,19,20.61
101,122,"Orth","D056",1,643,"PARIE",20,19,5.58
101,123,"Morph","D012",1,701,"ENTRE",20,19,58.78
101,125,"Sem","D076",0,761,"HURLE",20,19,18.24
101,126,"ID","D118",1,605,"TÂCHE",20,19,3.58
101,129,"Morph","D036",1,566,"EXPRIME",20,19,10.34
101,132,"ID","D122",1,624,"TOMBE",20,19,60.27
101,133,"Morph","D004",0,801,"CITE",20,19,4.8
101,134,"Morph","D003",1,697,"ARME",20,19,1.15
101,138,"Morph","D022",1,557,"BOUFFE",20,19,5.61
101,140,"Orth","D049",1,602,"ÉVITE",20,19,6.35
101,141,"Sem","D090",1,570,"TREMBLE",20,19,14.59
101,143,"Sem","D094",1,772,"COLLE",20,19,12.77
101,147,"Sem","D103",0,666,"PRIE",20,19,44.19
101,149,"Orth","D045",1,998,"BOUGE",20,19,30.88
101,151,"Orth","D041",1,691,"JUGE",20,19,29.8
101,152,"Sem","D101",1,765,"PORTE",20,19,79.05
101,153,"ID","D139",0,809,"BORDE",20,19,2.03
101,154,"ID","D110",1,1005,"RATE",20,19,2.91
101,158,"ID","D125",1,836,"TRACE",20,19,5.54
101,160,"Sem","D083",1,755,"HABITE",20,19,22.5
101,161,"ID","D135",1,738,"RÉPÈTE",20,19,37.3
101,162,"Orth","D040",1,1077,"GARE",20,19,2.77
101,164,"ID","D137",1,617,"RÉCITE",20,19,3.72
101,170,"Morph","D014",1,680,"GAGNE",20,19,19.66
101,172,"Sem","D102",1,1308,"QUITTE",20,19,32.03
101,180,"Orth","D051",1,584,"FORGE",20,19,0.74
101,182,"Sem","D087",1,784,"SITUE",20,19,4.86
101,183,"Sem","D078",0,1100,"MÉRITE",20,19,13.78
101,185,"Morph","D013",0,782,"FONDE",20,19,2.03
101,186,"Morph","D016",1,546,"PENSE",20,19,178.04
101,187,"Orth","D043",1,698,"RASE",20,19,2.64
101,189,"Morph","D009",1,871,"BRISE",20,19,6.08
101,190,"Orth","D065",0,977,"ARROGE",20,19,0.14
101,191,"Morph","D006",1,609,"JOUE",20,19,40.47
101,194,"Sem","D082",1,1152,"GRIMPE",20,19,8.18
101,198,"Sem","D105",1,541,"TROUVE",20,19,163.78
101,200,"ID","D127",1,990,"ÉTALE",20,19,10.41
101,202,"ID","D121",1,525,"DANSE",20,19,9.8
101,207,"Morph","D030",1,908,"SOIGNE",20,19,4.66
101,208,"Sem","D075",1,586,"FORME",20,19,11.89
101,210,"Sem","D086",1,522,"REFUSE",20,19,24.19
101,212,"ID","D138",1,569,"PRÉPARE",20,19,19.59
101,213,"Orth","D039",0,641,"FIGE",20,19,12.64
101,214,"Orth","D069",1,530,"ÉCOUTE",20,19,83.58
101,218,"Orth","D047",0,906,"BRÛLE",20,19,17.77
101,220,"ID","D112",0,607,"DURE",20,19,19.05
101,221,"ID","D136",0,2219,"PULSE",20,19,0.2
101,225,"ID","D130",0,699,"VANTE",20,19,2.57
101,226,"Sem","D085",1,714,"RACONTE",20,19,54.12
101,228,"Morph","D035",1,758,"FROTTE",20,19,8.58
101,231,"Sem","D088",1,755,"RINCE",20,19,2.03
101,232,"Orth","D063",0,754,"BRASE",20,19,0.001
101,234,"ID","D113",1,1379,"VIDE",20,19,9.32
101,235,"Sem","D099",1,1482,"OUBLIE",20,19,34.66
101,241,"ID","D131",1,1145,"BOUCLE",20,19,3.51
101,243,"Orth","D044",1,784,"VOLE",20,19,10.1
101,245,"Orth","D070",0,996,"TRAITE",20,19,8.11
101,246,"ID","D111",1,668,"FUME",20,19,15.2
101,247,"Orth","D050",1,821,"FERME",20,19,28.38
101,248,"Sem","D100",1,486,"PASSE",20,19,185.61
101,249,"Sem","D074",1,2104,"AVALE",20,19,9.26
101,252,"Morph","D024",1,953,"PROUVE",20,19,13.45
101,253,"Orth","D066",1,632,"ASSURE",20,19,27.09
101,254,"Morph","D011",1,1341,"CLOUE",20,19,1.22
101,257,"Morph","D026",1,719,"MONTRE",20,19,38.99
101,258,"ID","D120",1,1038,"CRÈVE",20,19,10.14
101,260,"Morph","D034",1,769,"ÉCHAPPE",20,19,18.65
101,262,"ID","D119",1,790,"DOUTE",20,19,20
101,263,"ID","D124",1,594,"ABUSE",20,19,1.62
101,265,"Orth","D055",1,578,"PANSE",20,19,0.47
101,269,"Sem","D091",1,689,"TROMPE",20,19,15.41
101,270,"ID","D117",1,547,"NAGE",20,19,2.36
101,274,"Orth","D061",0,895,"SONGE",20,19,17.03
101,275,"Sem","D089",1,697,"TOURNE",20,19,60.81
101,276,"Morph","D029",1,920,"ACCUSE",20,19,6.01
101,278,"Sem","D092",1,561,"CACHE",20,19,20.07
101,279,"ID","D134",1,804,"PLONGE",20,19,12.91
101,281,"Orth","D054",1,659,"MONTE",20,19,70.34
101,283,"ID","D115",0,1079,"PÈSE",20,19,13.18
101,285,"ID","D116",1,640,"RÊVE",20,19,21.62
101,286,"ID","D133",1,649,"INVITE",20,19,11.01
101,287,"ID","D143",1,578,"RETOURNE",20,19,50.54
101,289,"ID","D144",1,915,"MOULE",20,19,0.68
101,290,"Morph","D032",1,541,"IMPOSE",20,19,12.77
101,291,"Sem","D106",1,912,"AIDE",20,19,18.38
101,292,"Sem","D096",1,515,"EMPÊCHE",20,19,41.15
101,293,"Morph","D021",1,662,"BLESSE",20,19,3.11
101,295,"Sem","D079",1,531,"ACCEPTE",20,19,18.65
101,296,"Morph","D002",0,834,"TUE",20,19,16.96
101,299,"Morph","D015",1,773,"MOQUE",20,19,11.82
